id,Prevention_Knowledge
1000254,Cover your mouth and nose when coughing or sneezing
1000254,Avoid close contact with anyone who has a fever and cough
1000254,Cook meat and eggs well
1000152,Wash your hands regularly using alcohol or soap and water
1000152,Cover your mouth and nose when coughing or sneezing
1000238,Wash your hands regularly using alcohol or soap and water
1000238,Cover your mouth and nose when coughing or sneezing
1000238,Avoid close contact with anyone who has a fever and cough
1000238,Cook meat and eggs well
1000277,Wash your hands regularly using alcohol or soap and water
1000277,Cover your mouth and nose when coughing or sneezing
1000277,Avoid close contact with anyone who has a fever and cough
1000277,Cook meat and eggs well
1000277,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000106,Wash your hands regularly using alcohol or soap and water
1000106,Drink only treated water
1000106,Cover your mouth and nose when coughing or sneezing
1000106,Avoid close contact with anyone who has a fever and cough
1000106,Eliminate standing water
1000106,Cook meat and eggs well
1000106,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000130,Wash your hands regularly using alcohol or soap and water
1000130,Cover your mouth and nose when coughing or sneezing
1000130,Avoid close contact with anyone who has a fever and cough
1000130,Cook meat and eggs well
1000224,Wash your hands regularly using alcohol or soap and water
1000224,Drink only treated water
1000224,Cover your mouth and nose when coughing or sneezing
1000224,Avoid close contact with anyone who has a fever and cough
1000143,Wash your hands regularly using alcohol or soap and water
1000143,Cover your mouth and nose when coughing or sneezing
1000143,Avoid close contact with anyone who has a fever and cough
1000143,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000161,Cover your mouth and nose when coughing or sneezing
1000161,Avoid close contact with anyone who has a fever and cough
1000161,Social distancing and washing your hands at least 20 seconds with soap under running water and also sanitizeing your hands
1000137,Wash your hands regularly using alcohol or soap and water
1000137,Drink only treated water
1000137,Cover your mouth and nose when coughing or sneezing
1000137,Avoid close contact with anyone who has a fever and cough
1000137,Cook meat and eggs well
1000201,Wash your hands regularly using alcohol or soap and water
1000201,Drink only treated water
1000201,Cover your mouth and nose when coughing or sneezing
1000201,Avoid close contact with anyone who has a fever and cough
1000201,Eliminate standing water
1000300,Wash your hands regularly using alcohol or soap and water
1000300,Cover your mouth and nose when coughing or sneezing
1000300,Avoid close contact with anyone who has a fever and cough
1000317,Wash your hands regularly using alcohol or soap and water
1000317,Cover your mouth and nose when coughing or sneezing
1000317,Avoid close contact with anyone who has a fever and cough
1000314,Wash your hands regularly using alcohol or soap and water
1000314,Cover your mouth and nose when coughing or sneezing
1000314,Avoid close contact with anyone who has a fever and cough
1000314,Cook meat and eggs well
1000314,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000235,Wash your hands regularly using alcohol or soap and water
1000235,Cover your mouth and nose when coughing or sneezing
1000235,Avoid close contact with anyone who has a fever and cough
1000235,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000320,Wash your hands regularly using alcohol or soap and water
1000320,Cover your mouth and nose when coughing or sneezing
1000320,Avoid close contact with anyone who has a fever and cough
1000304,Wash your hands regularly using alcohol or soap and water
1000304,Drink only treated water
1000304,Cover your mouth and nose when coughing or sneezing
1000304,Avoid close contact with anyone who has a fever and cough
1000304,Cook meat and eggs well
1000195,Wash your hands regularly using alcohol or soap and water
1000195,Cover your mouth and nose when coughing or sneezing
1000195,Avoid close contact with anyone who has a fever and cough
1000195,Cook meat and eggs well
1000195,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000292,Wash your hands regularly using alcohol or soap and water
1000292,Cover your mouth and nose when coughing or sneezing
1000292,Avoid close contact with anyone who has a fever and cough
1000292,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000163,Wash your hands regularly using alcohol or soap and water
1000163,Cover your mouth and nose when coughing or sneezing
1000163,Avoid close contact with anyone who has a fever and cough
1000307,Wash your hands regularly using alcohol or soap and water
1000307,Cover your mouth and nose when coughing or sneezing
1000307,Avoid close contact with anyone who has a fever and cough
1000307,Cook meat and eggs well
1000307,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000153,Wash your hands regularly using alcohol or soap and water
1000153,Cover your mouth and nose when coughing or sneezing
1000132,Wash your hands regularly using alcohol or soap and water
1000132,Cover your mouth and nose when coughing or sneezing
1000168,Wash your hands regularly using alcohol or soap and water
1000168,Drink only treated water
1000168,Cover your mouth and nose when coughing or sneezing
1000168,Avoid close contact with anyone who has a fever and cough
1000306,Wash your hands regularly using alcohol or soap and water
1000306,Cover your mouth and nose when coughing or sneezing
1000306,Avoid close contact with anyone who has a fever and cough
1000180,Wash your hands regularly using alcohol or soap and water
1000180,Cover your mouth and nose when coughing or sneezing
1000180,Avoid close contact with anyone who has a fever and cough
1000180,Eliminate standing water
1000180,Cook meat and eggs well
1000180,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000151,Wash your hands regularly using alcohol or soap and water
1000151,Cover your mouth and nose when coughing or sneezing
1000151,Avoid close contact with anyone who has a fever and cough
1000151,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000165,Wash your hands regularly using alcohol or soap and water
1000165,Cover your mouth and nose when coughing or sneezing
1000165,Avoid close contact with anyone who has a fever and cough
1000165,Cook meat and eggs well
1000165,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000154,Wash your hands regularly using alcohol or soap and water
1000154,Cover your mouth and nose when coughing or sneezing
1000154,Avoid close contact with anyone who has a fever and cough
1000231,Sleep under the mosquito net
1000231,Drink only treated water
1000231,Cover your mouth and nose when coughing or sneezing
1000231,Avoid close contact with anyone who has a fever and cough
1000231,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000269,Wash your hands regularly using alcohol or soap and water
1000269,Drink only treated water
1000269,Cover your mouth and nose when coughing or sneezing
1000269,Avoid close contact with anyone who has a fever and cough
1000269,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000175,Wash your hands regularly using alcohol or soap and water
1000175,Cover your mouth and nose when coughing or sneezing
1000175,Avoid close contact with anyone who has a fever and cough
1000188,Wash your hands regularly using alcohol or soap and water
1000188,Drink only treated water
1000188,Cover your mouth and nose when coughing or sneezing
